10;100
1;Ciência da Computação;8
2;Engenharia Mecânica;6
3;Administração;10
4;Direito;5
5;Medicina;2
6;Arquitetura;9
7;Psicologia;8
8;Educação Física;7
9;História;5
10;Artes;10
Alice;750;800;850;1;2
Bob;600;700;650;2;3
Carol;800;850;900;3;4
David;700;750;800;4;5
Emily;650;700;750;5;6
Frank;850;900;950;6;7
George;750;800;850;7;8
Hannah;600;650;700;8;9
Isabella;700;750;800;9;10
Jack;800;850;900;10;1
Kelly;650;700;750;1;3
Liam;700;750;800;2;4
Mia;800;850;900;3;5
Noah;650;700;750;4;6
Oliver;750;800;850;5;7
Sophia;600;650;700;6;8
William;700;750;800;7;9
Ava;800;850;900;8;10
Ethan;650;700;750;9;1
Mia2;750;800;850;1;2
Noah2;600;700;650;2;3
Oliver2;800;850;900;3;4
Sophia2;700;750;800;4;5
William2;650;700;750;5;6
Ethan2;850;900;950;6;7
Mia3;750;800;850;7;8
Noah3;600;650;700;8;9
Oliver3;700;750;800;9;10
Sophia3;800;850;900;10;1
William3;650;700;750;1;3
Ethan3;700;750;800;2;4
Mia4;800;850;900;3;5
Noah4;650;700;750;4;6
Oliver4;750;800;850;5;7
Sophia4;600;650;700;6;8
William4;700;750;800;7;9
Ava2;800;850;900;8;10
Ethan4;650;700;750;9;1
Mia5;750;800;850;1;2
Noah5;600;700;650;2;3
Oliver5;800;850;900;3;4
Sophia5;700;750;800;4;5
William5;650;700;750;5;6
Ethan5;850;900;950;6;7
Mia6;750;800;850;7;8
Noah6;600;650;700;8;9
Oliver6;700;750;800;9;10
Sophia6;800;850;900;10;1
William6;650;700;750;1;3
Ethan6;700;750;800;2;4
Mia7;800;850;900;3;5
Noah7;650;700;750;4;6
Oliver7;750;800;850;5;7
Sophia7;600;650;700;6;8
William7;700;750;800;7;9
Ava3;800;850;900;8;10
Ethan7;650;700;750;9;1
Mia8;750;800;850;1;2
Noah8;600;700;650;2;3
Oliver8;800;850;900;3;4
Sophia8;700;750;800;4;5
William8;650;700;750;5;6
Ethan8;850;900;950;6;7
Mia9;750;800;850;7;8
Noah9;600;650;700;8;9
Oliver9;700;750;800;9;10
Sophia9;800;850;900;10;1
William9;650;700;750;1;3
Ethan9;700;750;800;2;4
Mia10;800;850;900;3;5
Noah10;650;700;750;4;6
Oliver10;750;800;850;5;7
Sophia10;600;650;700;6;8
William10;700;750;800;7;9
Ava4;800;850;900;8;10
Ethan10;650;700;750;9;1
Mia11;750;800;850;1;2
Noah11;600;700;650;2;3
Oliver11;800;850;900;3;4
Sophia11;700;750;800;4;5
William11;650;700;750;5;6
Ethan11;850;900;950;6;7
Mia12;750;800;850;7;8
Noah12;600;650;700;8;9
Oliver12;700;750;800;9;10
Sophia12;800;850;900;10;1
William12;650;700;750;1;3
Ethan12;700;750;800;2;4
Mia13;800;850;900;3;5
Noah13;650;700;750;4;6
Oliver13;750;800;850;5;7
Sophia13;600;650;700;6;8
William13;700;750;800;7;9
Ava5;800;850;900;8;10
Ethan13;650;700;750;9;1
Mia14;750;800;850;1;2
Noah14;600;700;650;2;3
Oliver14;800;850;900;3;4
Sophia14;700;750;800;4;5
William14;650;700;750;5;6
